region,community,weight,naming_tradition,note
maritime,Scottish Highland Catholic,300,scots_gaelic,"Cape Breton, Antigonish, eastern PEI"
maritime,Scottish Presbyterian,300,scots,"Pictou, Colchester, PEI"
maritime,Acadian,300,french,"Chaleur, Madawaska, Clare, Évangéline"
maritime,Loyalist Anglican,300,english,"Saint John, Annapolis, Halifax"
maritime,Irish Catholic,200,irish,"Saint John, Halifax, Miramichi"
maritime,Black Loyalist and Refugee,100,english,"Preston, Birchtown, Africville"
maritime,Mi'kmaq,100,mikmaq,"Unama'ki, Sipekne'katik, Epekwitk"
maritime,Lunenburg German,100,german,South Shore
maritime,Newfoundland English and Irish,200,newfoundland,"Avalon, outports (from 1949 band or by director)"
quebec,Canadien Catholic,600,french,Seigneurial and habitant families; the majority
quebec,Anglo-Scots Montréal Commercial,200,scots,"Square Mile, Westmount"
quebec,Irish Catholic,200,irish,"Griffintown, Pontiac, Québec City"
quebec,Jewish Montréal,100,jewish,Sephardic and Ashkenazi merchant families
quebec,Eastern Townships Loyalist,100,english,"Sherbrooke, Missisquoi"
quebec,Innu and Cree,100,cree,"Côte-Nord, Eeyou Istchee"
quebec,Huron-Wendat and Kanien'kehá:ka,100,haudenosaunee,"Wendake, Kahnawà:ke"
ontario,Loyalist Anglican,400,english,"Quinte, Niagara, Eastern Ontario"
ontario,Scots Presbyterian,300,scots,"Glengarry, Perth, Bruce"
ontario,Irish Protestant (Orange),300,irish,"Peterborough, Toronto, Ottawa Valley"
ontario,Irish Catholic,200,irish,"Ottawa, Toronto, Peterborough"
ontario,Franco-Ontarian,200,french,"Prescott-Russell, Sudbury, Nipissing"
ontario,Black Underground Railroad Descent,100,english,"Chatham, Windsor, Buxton"
ontario,Mennonite and Pennsylvania German,100,german,"Waterloo, Markham"
ontario,Anishinaabe,100,anishinaabe,"Manitoulin, Rama, Thunder Bay"
ontario,Haudenosaunee,100,haudenosaunee,"Six Nations, Tyendinaga"
ontario,Toronto Industrial and Commercial,200,english,"Rosedale, Parkdale, the Annex"
prairie,Métis,300,metis,"Red River, Batoche, Saint-Albert"
prairie,Cree and Saulteaux,200,cree,"Treaties 4, 5, 6"
prairie,Blackfoot Confederacy,100,blackfoot,Treaty 7
prairie,Ontario-British Settler,400,english,"Selkirk, Brandon, Regina, Calgary"
prairie,Scots and Selkirk Settler,200,scots,"Kildonan, Assiniboia"
prairie,Ukrainian,300,ukrainian,"Star, Vegreville, Dauphin, Yorkton"
prairie,Mennonite,200,german,"Steinbach, Winkler, Rosthern"
prairie,Icelandic,100,icelandic,"Gimli, New Iceland"
prairie,French-Canadian Prairie,200,french,"Saint-Boniface, Gravelbourg, Saint-Paul"
prairie,Scandinavian,100,scandinavian,"Camrose, Wetaskiwin, Outlook"
prairie,Jewish Farm Colony,100,jewish,"Hirsch, Edenbridge, Lipton"
prairie,Doukhobor,100,russian,"Veregin, Kamsack"
prairie,Mormon Southern Alberta,100,english,"Cardston, Raymond"
bc,British and Anglo-Colonial,400,english,"Victoria, Oak Bay, Kelowna"
bc,Scots Coastal Commercial,200,scots,"Vancouver, Nanaimo"
bc,Chinese,200,chinese,"Victoria and Vancouver Chinatowns, Barkerville"
bc,Japanese,100,japanese,"Steveston, Powell Street"
bc,Punjabi Sikh,100,punjabi,"Fraser Valley mills, Abbotsford"
bc,Coast Salish,100,coast_salish,"Musqueam, Squamish, Cowichan"
bc,Haida and Tsimshian,100,northwest_coast,"Haida Gwaii, Skeena"
bc,Interior Salish and Ktunaxa,100,interior_salish,"Okanagan, Kootenay"
bc,Kanaka Hawaiian,50,hawaiian,"Salt Spring, Fraser River"
north,Inuit,300,inuit,"Nunavut, Inuvialuit, Nunavik"
north,Dene,200,dene,"Mackenzie Valley, Denendeh"
north,Gwich'in and Hän,100,athabaskan,"Yukon River, Moosehide"
north,Klondike Settler,100,english,"Dawson, Whitehorse"
