house_a,house_b,marker,event,source
Macleod,Lockhart,◎,first contact at Macleod investiture,founding block 2026-04-25
Macleod,Sinclair-McKay,◎,first contact at Macleod investiture,founding block 2026-04-25
Ross,Ashworth,Sig−,L'Affaire de Rosser,handoff 2026-04-25
Ross,Sinclair-McKay,◎,Provencher contact + Isabelle Ruth solidarity letter,cascade 2026-04-27
Ross,Tessier,◎,single-transaction historical,cascade 2026-04-27
Hall,Delany,◉+,Atlantic-Great Lakes Compact,cascade 2026-04-27
Hall,Tupper-Blair,⚔ + Sig−,Dartmouth—Cole Harbour challenge 1918 (repulsed); second challenge also repulsed,cascade 2026-04-27; metrics 2026-05-04
Delany,Galbraith,◉+,SW Cooperative Mutual Insurance Arrangement,cascade 2026-04-27
MacDonald,MacNeil,◉+,Pugwash-Summerside Gaelic Compact,cascade 2026-04-27
Wallace,Pereira,◉,debenture/securities legacy,cascade 2026-04-27
Wallace,Whitcombe,◉,Nipigon machinery castings; Toronto Printing Press incursion later defended,cascade 2026-04-27; metrics 2026-05-04
Wallace,Blaikie,◎,DMUA founding subscription,cascade 2026-04-27
Blaikie,Pereira,~−◉,"DMUA partnership, formally resolved",cascade 2026-04-27
Blaikie,Tupper-Blair,Sig−,Mail Split,cascade 2026-04-27
Wilmot-Hazen,Richard-Arseneau,Sig−,Hannay episode 1903,cascade 2026-04-27
Wilmot-Hazen,Richard-Arseneau,Sig−,L'Affaire du Pilotage Fluvial (Major ⊖),summary 2026-04-27
Stanton-Greville,Whitcombe,◎,Bob's Lake licence fee,cascade 2026-04-27
Létourneau,Richard-Arseneau,Sig+ ◉,L'Entente des Vallées Franco-Catholiques,summary 2026-04-25
Tessier,Létourneau,incursion,territorial incursion Tessier → Létourneau,summary 2026-04-25
Tupper-Blair,Hall,Sig−,Hollis Street Ruling,summary 2026-04-25
Pereira,MacNeil,◉+,Sydney Jewish Community Accord,summary 2026-04-24
Fitzroy-Crane,Hall,+,Internment event,metrics 2026-05-04
Fitzroy-Crane,Hryhoryshyn,+,Internment event,metrics 2026-05-04
FitzWilliam-Macklem,Wallace,◎,founding grant,founding block 2026-05-04
FitzWilliam-Macklem,Stanton-Greville,◎,founding grant,founding block 2026-05-04
FitzWilliam-Macklem,Wilmot-Hazen,◎,founding grant,founding block 2026-05-04
FitzWilliam-Macklem,Tupper-Blair,◎,founding grant,founding block 2026-05-04
FitzWilliam-Macklem,Whitcombe,◎,founding grant,founding block 2026-05-04
FitzWilliam-Macklem,Ashworth,◎,founding grant,founding block 2026-05-04
FitzWilliam-Macklem,Ross,◎,founding grant,founding block 2026-05-04
FitzWilliam-Macklem,Lockhart,◎,founding grant,founding block 2026-05-04
FitzWilliam-Macklem,Polkinghorne,◎,founding grant,founding block 2026-05-04
Boyer-Lavallée,Sinclair-McKay,+,founding grant,founding block 2026-05-04
Boyer-Lavallée,Galbraith,+,founding grant,founding block 2026-05-04
Boyer-Lavallée,Letendre dit Batoche,+,founding grant,founding block 2026-05-04
Boyer-Lavallée,Richard-Arseneau,+,founding grant,founding block 2026-05-04
Boyer-Lavallée,Cardinal,◎,founding grant,founding block 2026-05-04
Boyer-Lavallée,Hryhoryshyn,◎,founding grant,founding block 2026-05-04
Boyer-Lavallée,Klassen-Reimer,◎,founding grant,founding block 2026-05-04
Boyer-Lavallée,Akatsiak,◎,founding grant,founding block 2026-05-04
